Id,Name,FIGI,Ticker
1,Сбер - Взвешенный смарт фонд,BBG011C8J503,SBWS
2,Райффайзен Индекс МосБиржи,BBG00V0YCTS9,RCMX
3,FinEx Казначейские облигации США (USD),BBG00NRFC2X2,FXTB
4,БКС Фундаментальный Выбор,BBG00Q3DWRZ7,RU000A1007R9
5,БКС Мировые ресурсы,BBG0100QBVK7,RU000A102Q33
6,Альфа-Капитал Европа 600,BBG00Q3HQJ74,AKEU
7,Альфа-Капитал Управляемые облигации,BBG00V7649K4,AKMB
8,Альфа-Капитал Управляемые Российские Акции,BBG00YRW4B42,AKME
9,ВТБ Капитал – Фонд Акций,BBG00M0DNJ69,RU000A0JR282
10,Тинькофф Золото,BBG222222222,TGLD
11,БКС Драгоценные металлы,BBG0109Y68W5,RU000A0JVJ29
12,АТОН Дивиденды,TCS00A1030P5,AMDG
13,FinEx Акции немецких компаний,BBG005H7MXN2,FXDE
14,Сбер S&P 500,BBG00NTZWLM4,SBSP
15,FinEx Акции компаний IT-сектора США,BBG00Y6D0N45,FXIM
16,Тинькофф Еврооблигации EUR,TCS00A103TD2,TBEU
17,FinEx Акции глобального рынка,BBG00R9805F5,FXWO
18,ITI Funds Акции рос. компаний (индекс РТС),BBG00KMXFK61,RUSE
19,FinEx Казначейские облигации США,BBG006GYFHV6,FXMM
20,Сбер - Динамичный Смарт фонд,BBG011C8G9X2,SBDS
21,Сбер Индекс Мосбиржи ОФЗ,BBG00NJ6XQ74,SBGB
22,FinEx Акции глобального рынка,BBG00R980XY3,FXRW
23,FinEx Фонды недвижимости REIT,BBG013N16YX7,FXRE
24,ВТБ Акции компаний США,BBG00PGVPH30,VTBA
25,FinEx Облигации TIPS,TCS0BNYK7X86,FXTP
26,Райффайзен Еврооблигации,BBG00XY8T3L1,RCMB
27,FinEx Видеоигры и Киберспорт,BBG011Q55QS3,FXES
28,FinEx Еврооблигации рос. компаний (USD),BBG005N1KZX4,FXRU
29,РСХБ - Вектор Устойчивого развития,BBG00WJSKRX9,ESGR
30,Тинькофф Eurostocks 50,TCS00A103VE6,TEUS
31,Тинькофф AI-Robotics,TCS00A103VG1,TRAI
32,Тинькофф Semiconductors,TCS00A103VF3,TSOX
33,Тинькофф FinTech,TCS00A103VH9,TFNX
34,Тинькофф PAN-ASIA,TCS00A103VK3,TPAS
35,Тинькофф Emerging Markets,TCS00A103VJ5,TEMS
36,БКС Международные Облигации,BBG00Q3DWX57,RU000A100EP4
37,FinEx Облигации TIPS (RUB, хедж),BBG011C7ZVQ2,FXIP
38,FinEx Облигации с рублевыми дивидендами,BBG01236BLK6,FXRD
39,Тинькофф NASDAQ,BBG111111111,TECH
40,Тинькофф ESG Leaders,TCS00A103VM9,TSST
41,Тинькофф Вечный портфель RUB,BBG000000001,TRUR
42,Тинькофф Вечный портфель EUR,BBG000000002,TEUR
43,Тинькофф Вечный портфель USD,BBG000000000,TUSD
44,ВТБ Фонд Золото,BBG00V9V16J8,VTBG
45,Тинькофф BuyBack Leaders,TCS00A103VL1,TBUY
46,Тинькофф CyberSecurity,TCS00A103VN7,TCBR
47,FinEx Акции китайских компаний,BBG005VKB7D7,FXCN
48,БКС Восток-Запад,TCS00A103EX2,RU000A103EX2
49,ВТБ Корп облигации США,BBG00PVNWFM6,VTBH
50,ЗПИФ ПАРУС-ОЗН,TCS00A1022Z1,RU000A1022Z1
51,БКС Российские Еврооблигации,BBG00Q7256Z3,RU000A100EQ2
52,Сбер Индекс Еврооблигаций,BBG00NB6KGN0,SBCB
53,БКС Российские Акции,BBG000QYGY95,RU000A0JP773
54,Тинькофф NASDAQ Biotech,TCS00A102EK1,TBIO
55,Тинькофф Индекс IPO,TCS00A102EM7,TIPO
56,FinEx Акций компаний развитых стран без США,TCS0BMDKNM37,FXDM
57,Сбер Рублевые Корп Облигации,TCS00A100P44,SBRB
58,FinEx Акции компаний IT-сектора США,BBG005HLTYH9,FXIT
59,Сбер - Прогрессивный смарт фонд,BBG011C8JMM2,SBPS
60,Тинькофф S&P 500,TCS00A102EQ8,TSPX
61,FinEx Облигаций развитых рынков,BBG00ZXX3KF9,FXFA
62,Альфа-Капитал Технологии 100,BBG00NNQMD85,AKNX
63,БКС XXII век,BBG000G12HT8,RU000A0JP708
64,Альфа-Капитал Медицина,BBG011MM3NT8,AKMD
65,Сбер Халяльные инвестиции,BBG013RTHWK8,SBHI
66,БПИФ БСПБ - ОФЗ 1000,BBG011PTC038,SPBF
67,БКС Перспектива,BBG000LYZRF7,RU000A0HF0L2
68,ВТБ Ликвидность,BBG00RPRPX12,VTBM
69,АТОН Генетическая революция,TCS00A102XN5,AMGR
70,Тинькофф Bonds RUB,TCS00A1039N1,TBRU
71,АТОН Ставка на рост,TCS00A102Y17,AMGF
72,Тинькофф Green Economy,TCS00A1039P6,TGRN
73,АТОН Доходные облигации мира,TCS00A102XP0,AMHY
74,АТОН Серебро,TCS00A102Y09,AMSL
75,Альфа-Капитал S&P 500,BBG00P5M77Y0,AKSP
76,АТОН Инновации,TCS00A102XR6,AMIN
77,АТОН Цифровое будущее,TCS00A102Y33,AMSC
78,АТОН Золотодобытчики,TCS00A102XQ8,AMGM
79,АТОН Тихая гавань,TCS00A102Y25,AMLV
80,БКС Основа,BBG000NBB630,RU000A0JP799
81,БПИФ БСПБ - Корпоративные облигации 1000,BBG011PTCPF0,SPBC
82,ВТБ Индекс Мосбиржи,TCS00A101EJ5,VTBX
83,АТОН Медицина и биотех США,TCS00A102XT2,AMHC
84,АТОН Надежные облигации,TCS00A102XU0,AMIG
